0
100_per_exp_max_512bp_train
============================================================
<class 'DNABERT_v1.src.transformers.tokenization_dna.DNATokenizer'>
total num of rows: (79755, 4)
embedding size is torch.Size([508, 768])
embedding size is torch.Size([401, 768])
embedding size is torch.Size([341, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([367, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([353, 768])
embedding size is torch.Size([407, 768])
embedding size is torch.Size([313, 768])
embedding size is torch.Size([507, 768])
embedding size is torch.Size([373, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([473, 768])
embedding size is torch.Size([371, 768])
embedding size is torch.Size([417, 768])
embedding size is torch.Size([387, 768])
embedding size is torch.Size([169, 768])
embedding size is torch.Size([413, 768])
embedding size is torch.Size([421, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([244, 768])
embedding size is torch.Size([293, 768])
embedding size is torch.Size([401, 768])
embedding size is torch.Size([467, 768])
embedding size is torch.Size([397, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([267, 768])
embedding size is torch.Size([337, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([433, 768])
embedding size is torch.Size([301, 768])
embedding size is torch.Size([497, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([377, 768])
embedding size is torch.Size([497, 768])
embedding size is torch.Size([387, 768])
embedding size is torch.Size([421, 768])
embedding size is torch.Size([245, 768])
embedding size is torch.Size([263, 768])
embedding size is torch.Size([373, 768])
embedding size is torch.Size([497, 768])
embedding size is torch.Size([397, 768])
embedding size is torch.Size([321, 768])
embedding size is torch.Size([367, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([281, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([244, 768])
embedding size is torch.Size([421, 768])
embedding size is torch.Size([417, 768])
embedding size is torch.Size([337, 768])
embedding size is torch.Size([417, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([467, 768])
embedding size is torch.Size([353, 768])
embedding size is torch.Size([291, 768])
embedding size is torch.Size([224, 768])
embedding size is torch.Size([461, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([477, 768])
embedding size is torch.Size([497, 768])
embedding size is torch.Size([270, 768])
embedding size is torch.Size([313, 768])
embedding size is torch.Size([497, 768])
embedding size is torch.Size([481, 768])
embedding size is torch.Size([433, 768])
embedding size is torch.Size([353, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([247, 768])
embedding size is torch.Size([341, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([305, 768])
embedding size is torch.Size([277, 768])
embedding size is torch.Size([241, 768])
embedding size is torch.Size([293, 768])
embedding size is torch.Size([397, 768])
embedding size is torch.Size([501, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([293, 768])
embedding size is torch.Size([421, 768])
embedding size is torch.Size([297, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([473, 768])
embedding size is torch.Size([433, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([461, 768])
embedding size is torch.Size([313, 768])
embedding size is torch.Size([401, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([377, 768])
embedding size is torch.Size([327, 768])
embedding size is torch.Size([301, 768])
embedding size is torch.Size([307, 768])
embedding size is torch.Size([361, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([281, 768])
embedding size is torch.Size([377, 768])
embedding size is torch.Size([341, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([347, 768])
embedding size is torch.Size([277, 768])
embedding size is torch.Size([441, 768])
embedding size is torch.Size([138, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([313, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([477, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([293, 768])
embedding size is torch.Size([333, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([261, 768])
embedding size is torch.Size([353, 768])
embedding size is torch.Size([317, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([380, 768])
embedding size is torch.Size([268, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([255, 768])
embedding size is torch.Size([477, 768])
embedding size is torch.Size([257, 768])
embedding size is torch.Size([393, 768])
embedding size is torch.Size([437, 768])
embedding size is torch.Size([493, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([361, 768])
embedding size is torch.Size([373, 768])
embedding size is torch.Size([377, 768])
embedding size is torch.Size([342, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([481, 768])
embedding size is torch.Size([501, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([370, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([413, 768])
embedding size is torch.Size([401, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([393, 768])
embedding size is torch.Size([253, 768])
embedding size is torch.Size([433, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([501, 768])
embedding size is torch.Size([297, 768])
embedding size is torch.Size([343, 768])
embedding size is torch.Size([381, 768])
embedding size is torch.Size([447, 768])
embedding size is torch.Size([289, 768])
embedding size is torch.Size([421, 768])
embedding size is torch.Size([493, 768])
embedding size is torch.Size([377, 768])
embedding size is torch.Size([393, 768])
embedding size is torch.Size([307, 768])
embedding size is torch.Size([233, 768])
embedding size is torch.Size([159, 768])
embedding size is torch.Size([361, 768])
embedding size is torch.Size([301, 768])
embedding size is torch.Size([273, 768])
embedding size is torch.Size([261, 768])
embedding size is torch.Size([367, 768])
embedding size is torch.Size([287, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([387, 768])
embedding size is torch.Size([333, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([467, 768])
embedding size is torch.Size([333, 768])
embedding size is torch.Size([341, 768])
embedding size is torch.Size([293, 768])
embedding size is torch.Size([437, 768])
embedding size is torch.Size([481, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([302, 768])
embedding size is torch.Size([481, 768])
embedding size is torch.Size([453, 768])
embedding size is torch.Size([416, 768])
embedding size is torch.Size([267, 768])
embedding size is torch.Size([281, 768])
embedding size is torch.Size([393, 768])
embedding size is torch.Size([467, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([477, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([267, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([327, 768])
embedding size is torch.Size([477, 768])
embedding size is torch.Size([287, 768])
embedding size is torch.Size([473, 768])
embedding size is torch.Size([487, 768])
embedding size is torch.Size([417, 768])
embedding size is torch.Size([157, 768])
embedding size is torch.Size([338, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([393, 768])
embedding size is torch.Size([457, 768])
embedding size is torch.Size([367, 768])
embedding size is torch.Size([441, 768])
embedding size is torch.Size([301, 768])
embedding size is torch.Size([397, 768])
embedding size is torch.Size([223, 768])
embedding size is torch.Size([321, 768])
embedding size is torch.Size([387, 768])
embedding size is torch.Size([341, 768])
embedding size is torch.Size([453, 768])
embedding size is torch.Size([497, 768])
embedding size is torch.Size([367, 768])
embedding size is torch.Size([293, 768])
embedding size is torch.Size([357, 768])
embedding size is torch.Size([467, 768])
embedding size is torch.Size([370, 768])
embedding size is torch.Size([357, 768])
embedding size is torch.Size([281, 768])
embedding size is torch.Size([447, 768])
embedding size is torch.Size([307, 768])
embedding size is torch.Size([493, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([281, 768])
embedding size is torch.Size([401, 768])
embedding size is torch.Size([433, 768])
embedding size is torch.Size([397, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([347, 768])
embedding size is torch.Size([467, 768])
embedding size is torch.Size([87, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([393, 768])
embedding size is torch.Size([329, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([407, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([453, 768])
embedding size is torch.Size([357, 768])
embedding size is torch.Size([387, 768])
embedding size is torch.Size([507, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([273, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([453, 768])
embedding size is torch.Size([501, 768])
embedding size is torch.Size([381, 768])
embedding size is torch.Size([290, 768])
embedding size is torch.Size([453, 768])
embedding size is torch.Size([447, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([347, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([406, 768])
embedding size is torch.Size([393, 768])
embedding size is torch.Size([297, 768])
embedding size is torch.Size([307, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([307, 768])
embedding size is torch.Size([377, 768])
embedding size is torch.Size([497, 768])
embedding size is torch.Size([273, 768])
embedding size is torch.Size([257, 768])
embedding size is torch.Size([261, 768])
embedding size is torch.Size([417, 768])
embedding size is torch.Size([221, 768])
embedding size is torch.Size([437, 768])
embedding size is torch.Size([401, 768])
embedding size is torch.Size([377, 768])
embedding size is torch.Size([248, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([501, 768])
embedding size is torch.Size([373, 768])
embedding size is torch.Size([341, 768])
embedding size is torch.Size([202, 768])
embedding size is torch.Size([401, 768])
embedding size is torch.Size([433, 768])
embedding size is torch.Size([478, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([421, 768])
embedding size is torch.Size([493, 768])
embedding size is torch.Size([301, 768])
embedding size is torch.Size([453, 768])
embedding size is torch.Size([373, 768])
embedding size is torch.Size([421, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([421, 768])
embedding size is torch.Size([257, 768])
embedding size is torch.Size([373, 768])
embedding size is torch.Size([417, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([313, 768])
embedding size is torch.Size([481, 768])
embedding size is torch.Size([293, 768])
embedding size is torch.Size([487, 768])
embedding size is torch.Size([301, 768])
embedding size is torch.Size([277, 768])
embedding size is torch.Size([281, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([467, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([341, 768])
embedding size is torch.Size([417, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([337, 768])
embedding size is torch.Size([391, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([78, 768])
embedding size is torch.Size([433, 768])
embedding size is torch.Size([274, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([397, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([501, 768])
embedding size is torch.Size([367, 768])
embedding size is torch.Size([365, 768])
embedding size is torch.Size([433, 768])
embedding size is torch.Size([357, 768])
embedding size is torch.Size([467, 768])
embedding size is torch.Size([441, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([387, 768])
embedding size is torch.Size([196, 768])
embedding size is torch.Size([317, 768])
embedding size is torch.Size([507, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([293, 768])
embedding size is torch.Size([421, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([287, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([297, 768])
embedding size is torch.Size([307, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([447, 768])
embedding size is torch.Size([301, 768])
embedding size is torch.Size([393, 768])
embedding size is torch.Size([293, 768])
embedding size is torch.Size([182, 768])
embedding size is torch.Size([477, 768])
embedding size is torch.Size([377, 768])
embedding size is torch.Size([305, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([497, 768])
embedding size is torch.Size([139, 768])
embedding size is torch.Size([277, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([427, 768])
embedding size is torch.Size([361, 768])
embedding size is torch.Size([501, 768])
embedding size is torch.Size([327, 768])
embedding size is torch.Size([401, 768])
embedding size is torch.Size([461, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([433, 768])
embedding size is torch.Size([373, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([199, 768])
embedding size is torch.Size([367, 768])
embedding size is torch.Size([477, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([501, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([437, 768])
embedding size is torch.Size([341, 768])
embedding size is torch.Size([357, 768])
embedding size is torch.Size([133, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([141, 768])
embedding size is torch.Size([407, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([257, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([225, 768])
embedding size is torch.Size([447, 768])
embedding size is torch.Size([401, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([293, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([327, 768])
embedding size is torch.Size([172, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([307, 768])
embedding size is torch.Size([162, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([267, 768])
embedding size is torch.Size([507, 768])
embedding size is torch.Size([473, 768])
embedding size is torch.Size([297, 768])
embedding size is torch.Size([367, 768])
embedding size is torch.Size([313, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([361, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([421, 768])
embedding size is torch.Size([357, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([381, 768])
embedding size is torch.Size([281, 768])
embedding size is torch.Size([313, 768])
embedding size is torch.Size([447, 768])
embedding size is torch.Size([357, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([321, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([122, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([377, 768])
embedding size is torch.Size([122, 768])
embedding size is torch.Size([433, 768])
embedding size is torch.Size([313, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([362, 768])
embedding size is torch.Size([297, 768])
embedding size is torch.Size([387, 768])
embedding size is torch.Size([338, 768])
embedding size is torch.Size([508, 768])
embedding size is torch.Size([192, 768])
embedding size is torch.Size([287, 768])
embedding size is torch.Size([447, 768])
embedding size is torch.Size([347, 768])
embedding size is torch.Size([277, 768])
embedding size is torch.Size([313, 768])
embedding size is torch.Size([393, 768])
embedding size is torch.Size([417, 768])
embedding size is torch.Size([327, 768])
embedding size is torch.Size([487, 768])
embedding size is torch.Size([282, 768])
embedding size is torch.Size([276, 768])
